Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time(s)
Logistic Regression,0.7929474830387805,0.8093576526566217,0.576936122102883,0.6736633663366337,0.862557951929159,7.143353223800659
Decision Tree,0.8424072367870006,0.78239608801956,0.7959299039005088,0.7891049711371406,0.8348030902581498,38.00302815437317
Random Forest,0.8861713711366112,0.8830811554332875,0.7984171848501979,0.8386177413608835,0.9532963978211568,302.8037197589874
Gradient Boosting,0.8784655331267275,0.8621572212065813,0.7997738835500283,0.8297947214076247,0.9501952459817344,1117.5758969783783
Logistic Regression (L1),0.7931150012563867,0.8101667990468626,0.5765969474279253,0.6737120211360634,0.8625662397069767,511.4274380207062
Logistic Regression (Ridge),0.7929474830387805,0.8093576526566217,0.576936122102883,0.6736633663366337,0.862557951929159,2.4899659156799316
PCA + Logistic Regression,0.7910210235363095,0.8079565425786867,0.571735443753533,0.6696239406779662,0.8620983036490627,2.7140989303588867
Probit Regression,0.7870424658681632,0.7995538559592097,0.5673261729790843,0.6637127174128695,0.8595840009337663,12.443550109863281
